;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[2, 0, 1, 0, 3, 1, 3, 0];13087;332900;1331600;7251;44,10605433733278
1;[2, 0, 1, 0, 3, 1, 3, 0];13087;332900;1331600;7251;44,10605433733278
2;[2, 0, 1, 0, 3, 1, 3, 0];13087;332900;1331600;7251;44,10605433733278
3;[2, 0, 1, 0, 3, 1, 3, 0];13087;332900;1331600;7251;44,10605433733278
4;[2, 0, 1, 0, 3, 1, 3, 0];13087;332900;1331600;7251;44,10605433733278
5;[2, 0, 1, 0, 3, 1, 3, 0];13087;332900;1331600;7251;44,10605433733278
6;[2, 0, 1, 0, 3, 1, 3, 0];13087;332900;1331600;7251;44,10605433733278
7;[2, 0, 1, 0, 3, 1, 3, 0];13087;332900;1331600;7251;44,10605433733278
8;[2, 0, 1, 0, 3, 1, 3, 0];13087;332900;1331600;7251;44,10605433733278
9;[2, 0, 1, 0, 3, 1, 3, 0];13087;332900;1331600;7251;44,10605433733278
