;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 3, 1, 3, 0];18479;332900;1331600;2058;152,7798833819242
1;[3, 0, 1, 0, 3, 1, 3, 0];18479;332900;1331600;2058;152,7798833819242
2;[3, 0, 1, 0, 3, 1, 3, 0];18479;332900;1331600;2058;152,7798833819242
3;[3, 0, 1, 0, 3, 1, 3, 0];18479;332900;1331600;2058;152,7798833819242
4;[3, 0, 1, 0, 3, 1, 3, 0];18479;332900;1331600;2058;152,7798833819242
5;[3, 0, 1, 0, 3, 1, 3, 0];18479;332900;1331600;2058;152,7798833819242
6;[3, 0, 1, 0, 3, 1, 3, 0];18479;332900;1331600;2058;152,7798833819242
7;[3, 0, 1, 0, 3, 1, 3, 0];18479;332900;1331600;2058;152,7798833819242
8;[3, 0, 1, 0, 3, 1, 3, 0];18479;332900;1331600;2058;152,7798833819242
9;[3, 0, 1, 0, 3, 1, 3, 0];18479;332900;1331600;2058;152,7798833819242
