;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 3, 1, 3, 0];14216;166450;1331600;1350;112,76592592592591
1;[3, 0, 1, 0, 3, 1, 3, 0];14216;166450;1331600;1350;112,76592592592591
2;[3, 0, 1, 0, 3, 1, 3, 0];14216;166450;1331600;1350;112,76592592592591
3;[3, 0, 1, 0, 3, 1, 3, 0];14216;166450;1331600;1350;112,76592592592591
4;[3, 0, 1, 0, 3, 1, 3, 0];14216;166450;1331600;1350;112,76592592592591
5;[3, 0, 1, 0, 3, 1, 3, 0];14216;166450;1331600;1350;112,76592592592591
6;[3, 0, 1, 0, 3, 1, 3, 0];14216;166450;1331600;1350;112,76592592592591
7;[3, 0, 1, 0, 3, 1, 3, 0];14216;166450;1331600;1350;112,76592592592591
8;[3, 0, 1, 0, 3, 1, 3, 0];14216;166450;1331600;1350;112,76592592592591
9;[3, 0, 1, 0, 3, 1, 3, 0];14216;166450;1331600;1350;112,76592592592591
