;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[2, 0, 1, 0, 3, 1, 3, 0];6833;166450;1331600;6752;23,63995853080569
1;[2, 0, 1, 0, 3, 1, 3, 0];6808;166450;1331600;6718;23,763322417386128
2;[2, 0, 1, 0, 3, 1, 3, 0];6788;166450;1331600;6767;23,59420718191222
3;[2, 0, 1, 0, 3, 1, 3, 0];6850;166450;1331600;6789;23,50861688024746
4;[2, 0, 1, 0, 3, 1, 3, 0];6780;166450;1331600;6766;23,598876736624295
5;[2, 0, 1, 0, 3, 1, 3, 0];6769;166450;1331600;6746;23,670471390453603
6;[2, 0, 1, 0, 3, 1, 3, 0];6729;166450;1331600;6734;23,718592218592217
7;[2, 0, 1, 0, 3, 1, 3, 0];6793;166450;1331600;6705;23,811633109619688
8;[2, 0, 1, 0, 3, 1, 3, 0];6832;166450;1331600;6724;23,738548483045808
9;[2, 0, 1, 0, 3, 1, 3, 0];6749;166450;1331600;6783;23,54430193129884
