;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 1, 4, 1, 4, 1];3574;20806;1331600;25;689,28
1;[4, 0, 1, 1, 4, 1, 4, 1];3359;20806;1331600;26;671,0384615384615
2;[4, 0, 1, 1, 4, 0, 3, 1];5891;20806;1331600;24;621,4583333333334
3;[4, 0, 1, 1, 4, 0, 3, 1];5927;20806;1331600;24;619,9583333333334
4;[4, 0, 1, 1, 4, 0, 3, 1];5838;20806;1331600;25;598,72
5;[4, 0, 1, 1, 4, 0, 3, 1];5934;20806;1331600;24;619,6666666666666
6;[4, 0, 1, 1, 4, 0, 3, 1];5740;20806;1331600;25;602,64
7;[4, 0, 1, 1, 4, 0, 3, 1];5838;20806;1331600;24;623,6666666666666
8;[4, 0, 1, 1, 4, 0, 3, 1];6066;20806;1331600;23;640,8695652173913
9;[4, 0, 1, 1, 4, 1, 4, 0];4812;20806;1331600;25;639,76
