;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[2, 0, 1, 0, 3, 1, 3, 0];3567;83225;1331600;5414;14,713335796084229
1;[2, 0, 1, 0, 3, 1, 3, 0];3567;83225;1331600;5414;14,713335796084229
2;[2, 0, 1, 0, 3, 1, 3, 0];3567;83225;1331600;5414;14,713335796084229
3;[2, 0, 1, 0, 3, 1, 3, 0];3567;83225;1331600;5414;14,713335796084229
4;[2, 0, 1, 0, 3, 1, 3, 0];3567;83225;1331600;5414;14,713335796084229
5;[2, 0, 1, 0, 3, 1, 3, 0];3567;83225;1331600;5414;14,713335796084229
6;[2, 0, 1, 0, 3, 1, 3, 0];3567;83225;1331600;5414;14,713335796084229
7;[2, 0, 1, 0, 3, 1, 3, 0];3567;83225;1331600;5414;14,713335796084229
8;[2, 0, 1, 0, 3, 1, 3, 0];3567;83225;1331600;5414;14,713335796084229
9;[2, 0, 1, 0, 3, 1, 3, 0];3567;83225;1331600;5414;14,713335796084229
