;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 1, 4, 1, 3, 1];126;625;40000;39;12,794871794871796
1;[4, 0, 1, 1, 4, 1, 3, 1];126;625;40000;39;12,794871794871796
2;[4, 0, 1, 1, 4, 1, 3, 1];125;625;40000;39;12,82051282051282
3;[4, 0, 1, 1, 4, 1, 3, 1];126;625;40000;39;12,794871794871796
4;[4, 0, 1, 1, 4, 1, 3, 1];125;625;40000;39;12,82051282051282
5;[4, 0, 1, 1, 4, 1, 3, 1];126;625;40000;39;12,794871794871796
6;[4, 0, 1, 1, 4, 1, 3, 1];126;625;40000;39;12,794871794871796
7;[4, 0, 1, 1, 4, 1, 3, 1];126;625;40000;39;12,794871794871796
8;[4, 0, 1, 1, 4, 1, 3, 1];126;625;40000;39;12,794871794871796
9;[4, 0, 1, 1, 4, 1, 3, 1];126;625;40000;39;12,794871794871796
