;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 3, 1, 3, 0];2348;20000;40000;908;19,440528634361232
1;[3, 0, 1, 0, 3, 1, 3, 0];2348;20000;40000;908;19,440528634361232
2;[3, 0, 1, 0, 3, 1, 3, 0];2348;20000;40000;908;19,440528634361232
3;[3, 0, 1, 0, 3, 1, 3, 0];2348;20000;40000;908;19,440528634361232
4;[3, 0, 1, 0, 3, 1, 3, 0];2348;20000;40000;908;19,440528634361232
5;[3, 0, 1, 0, 3, 1, 3, 0];2348;20000;40000;908;19,440528634361232
6;[3, 0, 1, 0, 3, 1, 3, 0];2348;20000;40000;908;19,440528634361232
7;[3, 0, 1, 0, 3, 1, 3, 0];2348;20000;40000;908;19,440528634361232
8;[3, 0, 1, 0, 3, 1, 3, 0];2348;20000;40000;908;19,440528634361232
9;[3, 0, 1, 0, 3, 1, 3, 0];2348;20000;40000;908;19,440528634361232
