;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 1, 4, 1, 3, 1];2102;10000;40000;39;202,51282051282053
1;[4, 0, 1, 1, 4, 1, 3, 1];2073;10000;40000;39;203,25641025641025
2;[4, 0, 1, 1, 4, 1, 3, 1];2043;10000;40000;39;204,02564102564105
3;[4, 0, 1, 1, 4, 1, 3, 1];2069;10000;40000;39;203,3589743589744
4;[4, 0, 1, 1, 4, 1, 3, 1];2095;10000;40000;39;202,69230769230768
5;[4, 0, 1, 1, 4, 1, 3, 1];2017;10000;40000;39;204,69230769230768
6;[4, 0, 1, 1, 4, 1, 3, 1];2062;10000;40000;39;203,53846153846155
7;[4, 0, 1, 1, 4, 1, 3, 1];2095;10000;40000;39;202,69230769230768
8;[4, 0, 1, 1, 4, 1, 3, 1];2051;10000;40000;39;203,8205128205128
9;[4, 0, 1, 1, 4, 1, 3, 1];2053;10000;40000;39;203,7692307692308
