;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 2, 4, 2, 3, 1];868;5000;40000;13;317,84615384615387
1;[4, 0, 1, 2, 5, 0, 3, 1];1372;5000;40000;8;453,5
2;[4, 0, 1, 2, 4, 0, 3, 1];1826;5000;40000;11;288,54545454545456
3;[4, 0, 1, 2, 5, 0, 3, 1];1312;5000;40000;8;461,0
4;[4, 0, 1, 2, 4, 2, 3, 1];888;5000;40000;13;316,3076923076923
5;[4, 0, 1, 2, 4, 2, 3, 1];855;5000;40000;13;318,84615384615387
6;[4, 0, 1, 2, 4, 2, 3, 1];842;5000;40000;13;319,84615384615387
7;[4, 0, 1, 2, 5, 0, 3, 1];1337;5000;40000;8;457,875
8;[4, 0, 1, 2, 5, 0, 3, 1];1311;5000;40000;8;461,125
9;[4, 0, 1, 2, 4, 0, 3, 1];1870;5000;40000;11;284,54545454545456
