;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 1, 4, 1, 3, 1];4119;20000;40000;39;407,2051282051282
1;[4, 0, 1, 1, 4, 1, 3, 1];4119;20000;40000;39;407,2051282051282
2;[4, 0, 1, 1, 4, 1, 3, 1];4119;20000;40000;39;407,2051282051282
3;[4, 0, 1, 1, 4, 1, 3, 1];4119;20000;40000;39;407,2051282051282
4;[4, 0, 1, 1, 4, 1, 3, 1];4119;20000;40000;39;407,2051282051282
5;[4, 0, 1, 1, 4, 1, 3, 1];4119;20000;40000;39;407,2051282051282
6;[4, 0, 1, 1, 4, 1, 3, 1];4119;20000;40000;39;407,2051282051282
7;[4, 0, 1, 1, 4, 1, 3, 1];4119;20000;40000;39;407,2051282051282
8;[4, 0, 1, 1, 4, 1, 3, 1];4119;20000;40000;39;407,2051282051282
9;[4, 0, 1, 1, 4, 1, 3, 1];4119;20000;40000;39;407,2051282051282
